City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,altoona,40.5187,-78.3947,299.71,94,100,1.33,US,1721243403
1,lengshuitan,26.4111,111.5956,299.9,75,100,2.42,CN,1721243404
2,kurchum,48.5722,83.6542,292.04,71,6,1.4,KZ,1721243405
3,bredasdorp,-34.5322,20.0403,284.65,75,100,1.51,ZA,1721243226
4,yaren,-0.5472,166.916,301.0,73,100,1.1,NR,1721243407
5,selfoss,63.9331,-20.9971,286.51,96,100,1.46,IS,1721243409
6,talnakh,69.4865,88.3972,282.99,60,8,1.4,RU,1721243410
7,palikir - national government center,6.9248,158.1611,300.22,78,100,4.64,FM,1721243411
8,margaret river,-33.95,115.0667,285.38,78,97,5.98,AU,1721243412
9,krasnovishersk,60.4078,57.082,291.74,69,100,0.32,RU,1721243413
10,colby,39.3958,-101.0524,303.18,48,40,5.36,US,1721243414
11,albany,42.6001,-73.9662,303.01,70,97,0.89,US,1721243415
12,heyuan,23.7333,114.6833,298.95,90,0,0.66,CN,1721243316
13,saipan,15.1355,145.701,302.54,74,20,4.63,MP,1721243204
14,thompson,55.7435,-97.8558,300.39,26,18,3.07,CA,1721243178
15,georgetown,5.4112,100.3354,302.11,74,20,1.54,MY,1721243420
16,grytviken,-54.2811,-36.5092,273.23,98,100,0.4,GS,1721243421
17,port-aux-francais,-49.35,70.2167,278.24,97,100,10.93,TF,1721243422
18,hawaiian paradise park,19.5933,-154.9731,298.88,82,100,3.09,US,1721243423
19,iqaluit,63.7506,-68.5145,276.87,93,100,10.73,CA,1721243424
20,yellowknife,62.456,-114.3525,301.71,58,35,1.34,CA,1721243426
21,waitangi,-43.9535,-176.5597,283.05,92,100,0.89,NZ,1721243428
22,tiksi,71.6872,128.8694,278.47,73,99,4.3,RU,1721243429
23,petoskey,45.3733,-84.9553,295.06,68,40,5.36,US,1721243430
24,college,64.8569,-147.8028,288.19,76,75,0.0,US,1721243431
25,papatowai,-46.5619,169.4708,281.74,90,100,3.19,NZ,1721243432
26,grand falls-windsor,48.9332,-55.6649,296.76,90,100,1.89,CA,1721243433
27,san jorge,-31.8962,-61.8598,293.62,41,0,4.58,AR,1721243434
28,cuyo,10.8525,121.0086,299.1,85,100,4.2,PH,1721243435
29,nuuk,64.1835,-51.7216,285.49,62,20,4.12,GL,1721243438
30,klyuchi,52.2667,79.1667,293.29,83,37,2.72,RU,1721243439
31,atafu village,-8.5421,-172.5159,301.76,74,12,9.67,TK,1721243440
32,east london,-33.0153,27.9116,290.81,77,44,4.02,ZA,1721243441
33,grand-popo,6.2804,1.8225,297.89,84,91,6.68,BJ,1721243442
34,conceicao do araguaia,-8.2578,-49.2647,309.05,17,0,2.74,BR,1721243443
35,blackmans bay,-43.0167,147.3167,280.22,82,100,1.79,AU,1721243444
36,wailua homesteads,22.0669,-159.378,300.39,69,75,5.14,US,1721243445
37,ribeira grande,38.5167,-28.7,297.37,73,40,3.58,PT,1721243323
38,laguna,38.421,-121.4238,303.5,44,0,2.06,US,1721243448
39,lazaro cardenas,17.9583,-102.2,304.67,63,7,4.71,MX,1721243449
40,bethel,41.3712,-73.414,305.86,67,20,3.09,US,1721243450
41,adamstown,-25.066,-130.1015,295.57,84,100,10.08,PN,1721243423
42,alofi,-19.0595,-169.9187,291.09,100,6,0.51,NU,1721243452
43,frederico westphalen,-27.3592,-53.3944,291.19,78,55,2.44,BR,1721243453
44,stanley,54.868,-1.6985,292.99,71,20,2.57,GB,1721243454
45,puerto natales,-51.7236,-72.4875,279.4,93,100,1.54,CL,1721243456
46,chunskiy,56.0815,99.6342,289.98,83,8,0.91,RU,1721243457
47,necochea,-38.5473,-58.7368,286.28,54,97,2.77,AR,1721243458
48,nyurba,63.2842,118.3319,287.17,98,18,2.24,RU,1721243459
49,al bardiyah,31.7561,25.0865,299.7,73,0,5.2,LY,1721243460
50,puerto ayora,-0.7393,-90.3518,300.13,91,72,1.79,EC,1721243461
51,badger,64.8,-147.5333,288.14,74,75,0.45,US,1721243184
52,ust-nera,64.5667,143.2,290.59,63,97,3.6,RU,1721243447
53,kousseri,12.0769,15.0306,305.55,50,100,3.59,CM,1721243464
54,tralee,52.2704,-9.7026,289.14,84,100,2.38,IE,1721243466
55,invercargill,-46.4,168.35,278.16,100,83,0.89,NZ,1721243467
56,polyarnyy,69.1989,33.4478,285.85,93,100,3.22,RU,1721243468
57,anadyr,64.75,177.4833,288.43,82,20,3.0,RU,1721243469
58,labrador city,52.9463,-66.9114,293.25,63,48,17.88,CA,1721243470
59,coquimbo,-29.9533,-71.3436,285.0,87,100,5.66,CL,1721243179
60,horovice,49.836,13.9027,295.47,71,51,1.41,CZ,1721243472
61,nova sintra,14.8667,-24.7167,297.74,74,88,3.26,CV,1721243473
62,sitka,57.0531,-135.33,287.09,94,100,5.66,US,1721243474
63,longyearbyen,78.2186,15.6401,283.06,62,0,8.23,SJ,1721243476
64,motueka,-41.1333,173.0167,283.76,91,94,1.45,NZ,1721243477
65,kapuskasing,49.4169,-82.4331,285.22,79,100,4.28,CA,1721243478
66,constantia,44.1833,28.65,302.53,68,0,2.36,RO,1721243231
67,muisne,0.6,-80.0333,297.68,83,97,4.82,EC,1721243480
68,hermanus,-34.4187,19.2345,286.37,77,100,3.84,ZA,1721243481
69,avarua,-21.2078,-159.775,296.18,68,20,2.57,CK,1721243455
70,xiaoshi,41.2971,124.1209,293.55,97,39,1.45,CN,1721243483
71,micheweni,-4.9667,39.8333,297.65,77,6,5.03,TZ,1721243484
72,gorzow wielkopolski,52.7368,15.2288,292.16,70,41,3.03,PL,1721243268
73,greymouth,-42.4667,171.2,280.77,88,100,2.56,NZ,1721243292
74,pisco,-13.7,-76.2167,290.18,82,100,3.09,PE,1721243489
75,sao joao da barra,-21.6403,-41.0511,300.2,79,5,6.67,BR,1721243490
76,santa marta,11.2408,-74.199,302.21,76,100,4.88,CO,1721243491
77,dawson creek,55.7666,-120.2362,302.95,23,0,2.57,CA,1721243492
78,sarai,53.7458,41.0213,296.62,74,5,2.64,RU,1721243494
79,belyy yar,53.6039,91.3903,293.09,94,40,5.0,RU,1721243408
80,karratha,-20.7377,116.8463,292.12,57,2,4.13,AU,1721243496
81,new norfolk,-42.7826,147.0587,280.87,80,100,1.9,AU,1721243497
82,gereida,11.2811,25.1414,304.69,42,96,2.82,SD,1721243498
83,ivdel',60.6911,60.4206,289.59,78,0,1.7,RU,1721243499
84,jianshui,23.6363,102.8264,293.27,92,100,1.47,CN,1721243500
85,lakhipur,26.0299,90.3041,300.81,88,87,0.68,IN,1721243501
86,nelson bay,-32.7167,152.15,284.87,89,100,0.89,AU,1721243502
87,tazovsky,67.4667,78.7,285.13,60,0,2.05,RU,1721243504
88,oriximina,-1.7656,-55.8661,307.09,36,2,3.56,BR,1721243505
89,yorkton,51.2167,-102.4677,296.06,53,0,3.09,CA,1721243506
90,port hedland,-20.3167,118.5667,288.18,51,2,2.57,AU,1721243508
91,lihue,21.9789,-159.3672,299.12,71,75,5.14,US,1721243510
92,isafjordur,66.0755,-23.124,287.17,72,75,6.17,IS,1721243511
93,nuku'alofa,-21.1333,-175.2,295.34,94,75,0.51,TO,1721243513
94,sandnessjoen,66.0217,12.6316,297.44,56,0,3.6,NO,1721243514
95,belaya kholunitsa,58.84,50.8528,287.72,99,100,0.87,RU,1721243515
96,yangiyer,40.275,68.8225,299.94,30,44,2.45,UZ,1721243516
97,carnarvon,-24.8667,113.6333,293.65,78,0,6.36,AU,1721243517
98,thinadhoo,0.5333,72.9333,301.82,74,41,2.66,MV,1721243518
99,nadvoitsy,63.8667,34.3167,291.26,72,100,0.81,RU,1721243519
100,porto novo,6.4965,2.6036,297.65,85,100,4.03,BJ,1721243521
101,enoch,37.7733,-113.0244,304.29,31,0,2.57,US,1721243522
102,winnemucca,40.973,-117.7357,307.18,11,0,5.66,US,1721243523
103,kodiak,57.79,-152.4072,283.88,87,20,2.06,US,1721243524
104,tayoltita,24.0833,-105.9333,306.16,50,79,2.44,MX,1721243525
105,el porvenir,13.7617,-87.3458,303.78,43,90,1.03,HN,1721243527
106,sucre,-19.0333,-65.2627,289.2,40,4,4.05,BO,1721243520
107,sayat,38.7839,63.8803,303.41,24,7,4.88,TM,1721243529
108,prado,-17.3411,-39.2208,298.06,64,0,3.17,BR,1721243530
109,namibe,-15.1961,12.1522,291.77,90,100,4.25,AO,1721243531
110,lucapa,-8.4192,20.7447,297.57,23,97,0.88,AO,1721243532
111,fuglafjordur,62.244,-6.814,285.41,85,99,3.34,FO,1721243534
112,afaahiti,-17.75,-149.2833,299.08,78,36,2.6,PF,1721243535
113,port lincoln,-34.7333,135.8667,284.01,75,78,1.56,AU,1721243536
114,poronaysk,49.2167,143.1167,285.19,91,100,4.08,RU,1721243537
115,olinda,-8.0089,-34.8553,301.0,65,40,6.69,BR,1721243538
116,mount pearl,47.5166,-52.7813,296.34,85,75,11.83,CA,1721243539
117,ilulissat,69.2167,-51.1,285.16,50,0,2.06,GL,1721243540
118,saudarkrokur,65.7461,-19.6394,290.02,62,59,3.53,IS,1721243542
119,westport,41.1415,-73.3579,306.01,66,0,3.09,US,1721243543
120,sumbawa besar,-8.5,117.4333,292.75,84,3,1.72,ID,1721243544
121,edinburgh of the seven seas,-37.0676,-12.3116,284.63,65,97,10.08,SH,1721243545
122,roma,43.2128,-75.4557,301.46,71,20,4.12,US,1721243517
123,tucurui,-3.7661,-49.6725,305.76,30,5,2.37,BR,1721243547
124,rio grande,-32.035,-52.0986,289.21,76,67,4.42,BR,1721243548
125,west island,-12.1568,96.8225,300.14,74,20,4.63,CC,1721243549
126,atherton,53.5237,-2.4935,293.97,68,100,0.89,GB,1721243550
127,kavaratti,10.5669,72.642,300.24,84,100,9.85,IN,1721243552
128,vorgashor,67.5833,63.95,289.19,84,100,1.69,RU,1721243553
129,shingu,33.7333,135.9833,297.07,89,97,2.6,JP,1721243554
130,cururupu,-1.8283,-44.8683,300.69,68,96,1.29,BR,1721243555
131,port alfred,-33.5906,26.891,287.14,87,100,4.79,ZA,1721243556
132,tura,25.5198,90.2201,298.71,92,100,1.19,IN,1721243557
133,wenzhou,27.9994,120.6668,300.66,82,26,0.59,CN,1721243558
134,walla walla,46.0646,-118.343,309.74,24,100,1.34,US,1721243559
135,chela,34.069,104.4619,285.64,92,0,1.46,CN,1721243560
136,zhaoyuan,37.3592,120.3964,296.06,97,99,0.38,CN,1721243562
137,manta,-0.95,-80.7333,300.03,74,75,4.63,EC,1721243497
138,manga,11.6636,-1.0731,299.73,82,25,3.68,BF,1721243564
139,canton,23.1167,113.25,301.12,66,33,4.05,CN,1721243565
140,uturoa,-16.7333,-151.4333,297.86,72,18,1.97,PF,1721243566
141,malvan,16.0667,73.4667,300.07,87,100,9.72,IN,1721243567
